1	1	monitor	2
2	1	teclado	1

0000000001	1	teclado	3
0000000001	1	teclado	1
0000000001	1	teclado	3
0000000001	1	teclado	1
0000000001	1	teclado	3
0000000001	1	teclado	1
0000000001	1	teclado	3
0000000001	1	teclado	1
0000000001	1	teclado	3
0000000001	1	teclado	1
0000000001	1	teclado	3
0000000001	1	teclado	1
0000000001	1	teclado	3
0000000001	1	teclado	1
0000000001	1	teclado	3
0000000001	1	teclado	1
0000000001	1	teclado	3
0000000001	1	teclado	1
0000000002	1	teclado	3
0000000002	1	teclado	1
0000000003	1	teclado	3
0000000003	1	teclado	1
0000000004	1	teclado	3
0000000004	1	teclado	1
0000000005	1	teclado	3
0000000005	1	teclado	1
